,date,Open,High,Low,Close,Adj Close,Volume,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,AMZ_close
120,8-7-2020,3340.050049,3352.540039,3328.719971,3351.280029,3351.280029,4104860000,-15,-5,57,-29,-37,10,3167.459961
121,8-10-2020,3356.040039,3363.290039,3335.439941,3360.469971,3360.469971,4318570000,-14,-5,47,-32,-38,9,3148.159912
122,8-11-2020,3370.3400880000004,3381.01001,3326.439941,3333.689941,3333.689941,5087650000,-13,-3,57,-31,-38,10,3080.669922
123,8-12-2020,3355.459961,3387.889893,3355.459961,3380.350098,3380.350098,3768560000,-13,-4,51,-32,-37,10,3162.23999
124,8-13-2020,3372.9499509999996,3387.23999,3363.350098,3373.429932,3373.429932,3648810000,-14,-3,53,-31,-37,10,3161.02002
125,8-14-2020,3368.6599119999996,3378.51001,3361.639893,3372.850098,3372.850098,3193400000,-16,-5,53,-29,-37,10,3148.02002
126,8-17-2020,3380.860107,3387.5900880000004,3379.219971,3381.98999,3381.98999,3671290000,-15,-6,42,-32,-38,9,3182.409912
127,8-18-2020,3387.040039,3395.0600590000004,3370.149902,3389.780029,3389.780029,3881310000,-14,-4,50,-32,-36,10,3312.48999
128,8-19-2020,3392.51001,3399.540039,3369.6599119999996,3374.850098,3374.850098,3884480000,-14,-5,44,-32,-36,10,3260.47998
129,8-20-2020,3360.4799799999996,3390.8000490000004,3354.689941,3385.51001,3385.51001,3642850000,-14,-4,53,-31,-36,10,3297.3701170000004
130,8-21-2020,3386.01001,3399.959961,3379.3100590000004,3397.1599119999996,3397.1599119999996,3705420000,-16,-6,48,-29,-36,9,3284.719971
131,8-24-2020,3418.0900880000004,3432.0900880000004,3413.1298829999996,3431.280029,3431.280029,3728690000,-16,-7,32,-33,-36,10,3307.459961
132,8-25-2020,3435.9499509999996,3444.209961,3425.8400880000004,3443.6201170000004,3443.6201170000004,3619300000,-15,-4,37,-33,-37,10,3346.48999
133,8-26-2020,3449.969971,3481.070068,3444.149902,3478.7299799999996,3478.7299799999996,3754360000,-14,-5,42,-32,-35,10,3441.850098
134,8-27-2020,3485.139893,3501.3798829999996,3468.350098,3484.5500490000004,3484.5500490000004,3929560000,-16,-6,41,-32,-36,10,3400.0
135,8-28-2020,3494.6899409999996,3509.2299799999996,3484.320068,3508.01001,3508.01001,3855880000,-17,-8,37,-30,-35,9,3401.8000490000004
136,8-31-2020,3509.7299799999996,3514.7700200000004,3493.25,3500.3100590000004,3500.3100590000004,4342290000,-15,-7,30,-32,-35,9,3450.959961
137,9-1-2020,3507.4399409999996,3528.030029,3494.600098,3526.649902,3526.649902,4083110000,-12,-2,36,-31,-36,9,3499.1201170000004
138,9-2-2020,3543.76001,3588.110107,3535.2299799999996,3580.8400880000004,3580.8400880000004,4285190000,-13,-5,35,-32,-35,9,3531.4499509999996
