,date,Open,High,Low,Close,Adj Close,Volume
0,2-18-2020,2125.02002,2166.070068,2124.110107,2155.669922,2155.669922,2945600
1,2-19-2020,2167.800049,2185.100098,2161.1201170000004,2170.219971,2170.219971,2561200
2,2-20-2020,2173.070068,2176.790039,2127.449951,2153.100098,2153.100098,3131300
3,2-21-2020,2142.149902,2144.550049,2088.0,2095.969971,2095.969971,4646300
4,2-24-2020,2003.180054,2039.300049,1987.969971,2009.290039,2009.290039,6547000
5,2-25-2020,2026.4200440000002,2034.5999760000002,1958.4200440000002,1972.7399899999998,1972.7399899999998,6219100
6,2-26-2020,1970.280029,2014.6700440000002,1960.449951,1979.589966,1979.589966,5224600
7,2-27-2020,1934.380005,1975.0,1882.7600100000002,1884.300049,1884.300049,8144000
8,2-28-2020,1814.630005,1889.7600100000002,1811.130005,1883.75,1883.75,9493800
9,3-2-2020,1906.4899899999998,1954.5100100000002,1870.0,1953.949951,1953.949951,6761700
10,3-3-2020,1975.369995,1996.3299559999998,1888.089966,1908.9899899999998,1908.9899899999998,7534500
11,3-4-2020,1946.569946,1978.0,1922.0,1975.8299559999998,1975.8299559999998,4772900
12,3-5-2020,1933.0,1960.719971,1910.0,1924.030029,1924.030029,4748200
13,3-6-2020,1875.0,1910.869995,1869.5,1901.089966,1901.089966,5273600
14,3-9-2020,1773.859985,1862.77002,1761.290039,1800.609985,1800.609985,7813200
15,3-10-2020,1870.880005,1894.27002,1818.1700440000002,1891.819946,1891.819946,7133300
16,3-11-2020,1857.8499760000002,1871.319946,1801.5,1820.859985,1820.859985,5624800
17,3-12-2020,1721.97998,1765.0,1675.0,1676.609985,1676.609985,11346200
18,3-13-2020,1755.0,1786.310059,1680.619995,1785.0,1785.0,8809700
19,3-16-2020,1641.51001,1759.449951,1626.030029,1689.1500239999998,1689.1500239999998,8917300
20,3-17-2020,1775.469971,1857.780029,1689.2399899999998,1807.839966,1807.839966,10917100
21,3-18-2020,1750.0,1841.660034,1745.0,1830.0,1830.0,9645200
22,3-19-2020,1860.0,1945.0,1832.6500239999998,1880.930054,1880.930054,10399900
